cluster,location_geometry
108,"POLYGON ((33.96741027 -118.31462782, 33.96719621 -118.31472168, 33.96718366 -118.31472016, 33.96700202 -118.31466495, 33.96707755 -118.31457074, 33.967346 -118.31447209, 33.96741027 -118.31462782))"
110,"POLYGON ((33.9703956 -118.2836694, 33.97250753 -118.2869254, 33.9684063 -118.2875439, 33.96458384 -118.28782028, 33.9627765 -118.2852421, 33.9703956 -118.2836694))"
111,"POLYGON ((33.93656989 -118.28642389, 33.93315461 -118.28613632, 33.93299895 -118.2860171, 33.9286413 -118.2815436, 33.93245335 -118.28210698, 33.93656989 -118.28642389))"
112,"POLYGON ((33.9457717 -118.2656462, 33.94021113 -118.26829174, 33.93999113 -118.26717166, 33.94004517 -118.26444729, 33.94039061 -118.2631032, 33.944066 -118.2631687, 33.9457717 -118.2656462))"
113,"POLYGON ((33.9255963 -118.26836082, 33.93116 -118.27038, 33.9274081 -118.269964, 33.9262917 -118.2696702, 33.92564112 -118.26860962, 33.9255963 -118.26836082))"
114,"POLYGON ((33.93331925 -118.26584702, 33.92937764 -118.26522288, 33.9295756 -118.2647687, 33.93143099 -118.26254569, 33.93148196 -118.26250797, 33.93260162 -118.26330979, 33.93264871 -118.26338222, 33.93331925 -118.26584702))"
115,"POLYGON ((33.94779608 -118.24226566, 33.9506009 -118.23902817, 33.95200671 -118.24435504, 33.95097756 -118.24694749, 33.9504113 -118.24654889, 33.94779608 -118.24226566))"
116,"POLYGON ((33.98047686 -118.33178221, 33.97949572 -118.32648979, 33.98400312 -118.3280282, 33.98382871 -118.32823442, 33.98047686 -118.33178221))"
117,"POLYGON ((33.98900578 -118.33475864, 33.98247492 -118.33780814, 33.98178183 -118.33388222, 33.98178583 -118.33387824, 33.9855173 -118.33281967, 33.9875634 -118.3337095, 33.98884686 -118.33438966, 33.98900578 -118.33475864))"
118,"POLYGON ((34.03300635 -118.3944709, 34.03388907 -118.38613821, 34.03760034 -118.39115347, 34.03300635 -118.3944709))"
119,"POLYGON ((34.03989132 -118.42328883, 34.0316433 -118.42548846, 34.03075661 -118.42450563, 34.03436409 -118.42288596, 34.03989132 -118.42328883))"
120,"POLYGON ((34.03976067 -118.43341464, 34.03541248 -118.44067429, 34.03382184 -118.43812938, 34.0371667 -118.4349008, 34.03976067 -118.43341464))"
121,"POLYGON ((34.074117 -118.4552625, 34.04272573 -118.45868952, 34.04005386 -118.45802462, 34.04022449 -118.45737758, 34.0431504 -118.44910498, 34.0470408 -118.44111941, 34.05027699 -118.43569678, 34.0608345 -118.43375101, 34.07111767 -118.43911101, 34.07261023 -118.44182747, 34.074117 -118.4552625))"
122,"POLYGON ((34.04062204 -118.46557785, 34.040258 -118.46727864, 34.04017158 -118.46724378, 34.04012085 -118.4671794, 34.0393197 -118.46606953, 34.04062204 -118.46557785))"
123,"POLYGON ((34.04626719 -118.46444341, 34.04902006 -118.45789604, 34.05581465 -118.46419499, 34.05563834 -118.46584774, 34.05250133 -118.46802964, 34.04702435 -118.4667874, 34.04626719 -118.46444341))"
124,"POLYGON ((34.0619693 -118.417853, 34.05789508 -118.42360004, 34.05333854 -118.4163505, 34.05290244 -118.41100185, 34.05879392 -118.41153058, 34.06122108 -118.41454983, 34.0619693 -118.417853))"
125,"POLYGON ((34.07296058 -118.18078681, 34.0729216 -118.1740367, 34.0731165 -118.17411165, 34.075713 -118.1768932, 34.07569921 -118.1775287, 34.07546697 -118.18210537, 34.0753921 -118.18209099, 34.07296058 -118.18078681))"
126,"POLYGON ((34.086814 -118.168095, 34.09474094 -118.16903972, 34.09043041 -118.17597597, 34.08224246 -118.18595362, 34.08224258 -118.18034622, 34.086814 -118.168095))"
127,"POLYGON ((34.09970099 -118.18836114, 34.09577077 -118.18500051, 34.10426252 -118.18285648, 34.10322026 -118.18777479, 34.101898 -118.1880757, 34.09970099 -118.18836114))"
128,"POLYGON ((34.11206545 -118.20216979, 34.10883693 -118.20482945, 34.105695 -118.20192702, 34.10565832 -118.20181498, 34.10517969 -118.19987957, 34.10623688 -118.19767118, 34.10853181 -118.19493859, 34.110075 -118.1965721, 34.11178788 -118.19912238, 34.11206545 -118.20216979))"
